aqi,pm25,pm10,no2,o3,co,so2,temp,feels_like,humidity,pressure,wind_speed,visibility,hour,day,month,dayofweek,is_weekend,timestamp,city,wind_direction,precipitation,weather_code,is_rush_hour,aqi_change_rate
80.6,26.19,,,,,,25.9,25.6,43,939.4,6.6,,6,29,5,3,0,2025-05-29 06:00:00,Islamabad,45.0,0.0,0.0,0.0,0.0
79.3,25.54,,,,,,28.1,28.0,39,940.5,6.8,,7,29,5,3,0,2025-05-29 07:00:00,Islamabad,78.0,0.0,1.0,1.0,-1.3
81.0,26.37,,,,,,31.0,30.7,32,941.6,6.3,,8,29,5,3,0,2025-05-29 08:00:00,Islamabad,92.0,0.0,1.0,1.0,1.7
76.9,24.39,,,,,,33.6,32.8,27,942.0,9.4,,9,29,5,3,0,2025-05-29 09:00:00,Islamabad,103.0,0.0,0.0,1.0,-4.1
77.4,24.64,,,,,,35.8,35.7,24,941.9,9.9,,10,29,5,3,0,2025-05-29 10:00:00,Islamabad,111.0,0.0,0.0,0.0,0.5
86.3,28.9,,,,,,37.6,38.2,21,941.4,9.7,,11,29,5,3,0,2025-05-29 11:00:00,Islamabad,114.0,0.0,2.0,0.0,8.9
52.0,12.57,,,,,,27.8,30.6,57,942.1,2.0,,12,29,5,3,0,2025-05-29 12:00:00,Islamabad,80.0,2.1,61.0,0.0,-34.3
24.8,5.95,,,,,,30.0,31.4,44,941.0,5.5,,13,29,5,3,0,2025-05-29 13:00:00,Islamabad,41.0,0.0,3.0,0.0,-27.2
48.6,11.66,,,,,,25.1,26.2,67,943.2,15.0,,14,29,5,3,0,2025-05-29 14:00:00,Islamabad,325.0,5.3,63.0,0.0,23.8
54.2,13.64,,,,,,26.7,27.7,59,940.2,12.7,,15,29,5,3,0,2025-05-29 15:00:00,Islamabad,52.0,0.0,3.0,0.0,5.6
29.6,7.1,,,,,,28.0,28.9,51,940.3,10.3,,16,29,5,3,0,2025-05-29 16:00:00,Islamabad,15.0,0.1,51.0,0.0,-24.6
37.9,9.09,,,,,,29.5,30.4,45,939.2,9.0,,17,29,5,3,0,2025-05-29 17:00:00,Islamabad,78.0,0.0,3.0,1.0,8.3
55.4,14.2,,,,,,32.4,30.7,27,938.8,13.9,,18,29,5,3,0,2025-05-29 18:00:00,Islamabad,160.0,0.0,3.0,1.0,17.5
56.3,14.63,,,,,,30.7,29.4,31,937.7,12.5,,19,29,5,3,0,2025-05-29 19:00:00,Islamabad,40.0,0.0,0.0,1.0,0.9
20.9,5.01,,,,,,30.3,29.1,31,937.7,10.7,,20,29,5,3,0,2025-05-29 20:00:00,Islamabad,31.0,0.0,1.0,0.0,-35.4
23.0,5.52,,,,,,29.9,28.8,30,937.6,8.9,,21,29,5,3,0,2025-05-29 21:00:00,Islamabad,45.0,0.0,0.0,0.0,2.1
38.1,9.14,,,,,,28.9,28.1,31,937.4,5.7,,22,29,5,3,0,2025-05-29 22:00:00,Islamabad,28.0,0.0,0.0,0.0,15.1
70.7,21.46,,,,,,27.9,26.3,31,937.6,9.7,,23,29,5,3,0,2025-05-29 23:00:00,Islamabad,336.0,0.0,2.0,0.0,32.6
76.7,24.3,,,,,,27.7,27.7,37,937.1,3.2,,0,30,5,4,0,2025-05-30 00:00:00,Islamabad,19.0,0.0,2.0,0.0,6.0
73.0,22.55,,,,,,26.8,25.2,33,937.2,9.3,,1,30,5,4,0,2025-05-30 01:00:00,Islamabad,304.0,0.0,1.0,0.0,-3.7
87.7,29.53,,,,,,28.9,25.8,28,937.2,18.6,,2,30,5,4,0,2025-05-30 02:00:00,Islamabad,8.0,0.0,0.0,0.0,14.7
74.9,23.46,,,,,,26.9,25.8,33,937.3,6.2,,3,30,5,4,0,2025-05-30 03:00:00,Islamabad,30.0,0.0,0.0,0.0,-12.8
52.6,12.85,,,,,,25.8,26.0,42,937.3,2.4,,4,30,5,4,0,2025-05-30 04:00:00,Islamabad,17.0,0.0,0.0,0.0,-22.3
52.5,12.8,,,,,,25.1,24.3,38,937.5,4.5,,5,30,5,4,0,2025-05-30 05:00:00,Islamabad,304.0,0.0,1.0,0.0,-0.1
67.0,19.7,,,,,,22.2,23.0,71,938.7,11.1,,6,30,5,4,0,2025-05-30 06:00:00,Islamabad,300.0,0.0,0.0,0.0,14.5
74.1,23.08,,,,,,24.7,25.3,59,939.6,10.9,,7,30,5,4,0,2025-05-30 07:00:00,Islamabad,306.0,0.0,0.0,1.0,7.1
66.9,19.68,,,,,,27.4,27.4,46,940.3,11.0,,8,30,5,4,0,2025-05-30 08:00:00,Islamabad,305.0,0.0,0.0,1.0,-7.2
67.2,19.8,,,,,,30.4,30.7,36,941.1,5.7,,9,30,5,4,0,2025-05-30 09:00:00,Islamabad,302.0,0.0,0.0,1.0,0.3
66.8,19.63,,,,,,32.2,33.7,33,941.6,4.7,,10,30,5,4,0,2025-05-30 10:00:00,Islamabad,137.0,0.0,0.0,0.0,-0.4
67.0,19.7,,,,,,33.4,32.8,24,941.6,13.7,,11,30,5,4,0,2025-05-30 11:00:00,Islamabad,140.0,0.1,51.0,0.0,0.2
74.0,23.04,,,,,,31.5,30.2,32,941.6,20.9,,12,30,5,4,0,2025-05-30 12:00:00,Islamabad,128.0,0.6,53.0,0.0,7.0
82.0,26.84,,,,,,32.9,31.8,28,940.7,14.7,,13,30,5,4,0,2025-05-30 13:00:00,Islamabad,126.0,0.0,2.0,0.0,8.0
106.4,37.69,,,,,,32.6,32.9,29,940.5,7.8,,14,30,5,4,0,2025-05-30 14:00:00,Islamabad,105.0,0.4,51.0,0.0,24.4
107.8,38.27,,,,,,33.7,34.0,26,939.6,3.9,,15,30,5,4,0,2025-05-30 15:00:00,Islamabad,114.0,0.0,2.0,0.0,1.4
123.9,44.79,,,,,,33.0,31.8,26,939.0,10.5,,16,30,5,4,0,2025-05-30 16:00:00,Islamabad,147.0,0.0,2.0,0.0,16.1
111.5,39.76,,,,,,32.9,31.7,26,938.8,9.7,,17,30,5,4,0,2025-05-30 17:00:00,Islamabad,130.0,0.0,1.0,1.0,-12.4
58.8,15.8,,,,,,32.0,30.5,27,938.6,11.6,,18,30,5,4,0,2025-05-30 18:00:00,Islamabad,6.0,0.0,3.0,1.0,-52.7
58.3,15.56,,,,,,30.0,29.7,34,938.1,7.2,,19,30,5,4,0,2025-05-30 19:00:00,Islamabad,4.0,0.0,3.0,1.0,-0.5
70.0,21.15,,,,,,28.8,28.6,39,938.1,9.2,,20,30,5,4,0,2025-05-30 20:00:00,Islamabad,31.0,0.0,3.0,0.0,11.7
68.7,20.52,,,,,,28.4,27.1,36,938.6,12.9,,21,30,5,4,0,2025-05-30 21:00:00,Islamabad,49.0,0.0,0.0,0.0,-1.3
72.8,22.45,,,,,,27.1,26.6,40,938.9,8.8,,22,30,5,4,0,2025-05-30 22:00:00,Islamabad,64.0,0.0,1.0,0.0,4.1
25.8,6.2,,,,,,26.7,26.5,42,938.7,6.9,,23,30,5,4,0,2025-05-30 23:00:00,Islamabad,28.0,0.0,3.0,0.0,-47.0
