,shap_value
wind_speed,21.735561
aqi_rolling_72h,17.230368
month_cos,9.726402
month_sin,9.0220585
is_rush_hour,5.18697
humidity,3.422514
precipitation,3.1374412
hour_sin,1.9397136
hour_cos,1.7960352
temp,1.3841938
season,0.8546554
aqi_lag_72h,0.34271318
aqi_rolling_96h,0.33761322
aqi_lag_96h,0.26893237
temp_humidity,0.2686373
feels_like,0.26667792
pressure,0.21200642
wind_direction,0.21060194
wind_humidity,0.14378108
dayofweek,0.09070406
weather_code,0.07378729
is_stagnant,0.058561176
is_weekend,0.0
is_calm_wind,0.0
is_cold,0.0
is_hot,0.0
is_strong_wind,0.0
